date_,store,department,item,unit_price,quantity,on_promotion,promotion_type
20090605,380,1,593171,10,24,N,0
20090606,380,1,593171,10,32,N,0
20090606,671,1,593171,10,8,N,0
20090607,671,1,593171,10,26,N,0
20090607,364,1,593171,10,8,N,0
20090607,380,1,593171,10,8,N,0
20090608,671,1,593171,10,14,N,0
20090608,380,1,593171,10,6,N,0
20090608,364,1,593171,10,4,N,0
20090609,380,1,593171,10,10,N,0
20090609,671,1,593171,10,10,N,0
20090609,364,1,593171,10,4,N,0
20090609,418,1,593171,10,2,N,0
20090610,380,1,593171,10,12,N,0
20090610,671,1,593171,10,12,N,0
20090610,364,1,593171,10,4,N,0
20090610,418,1,593171,10,2,N,0
20090611,364,1,593171,10,6,N,0
20090611,380,1,593171,10,6,N,0
20090611,671,1,593171,10,6,N,0
20090611,362,1,593171,10,4,N,0
20090611,390,1,593171,10,2,N,0
20090612,380,1,593171,10,14,N,0
20090612,671,1,593171,10,14,N,0
20090612,390,1,593171,10,10,N,0
20090612,362,1,593171,10,6,N,0
20090612,364,1,593171,10,6,N,0
20090612,418,1,593171,10,2,N,0
20090613,390,1,593171,10,22,N,0
20090613,362,1,593171,10,20,N,0
20090613,671,1,593171,10,20,N,0
20090613,364,1,593171,10,6,N,0
20090613,380,1,593171,10,4,N,0
20090613,437,1,593171,10,2,N,0
20090614,390,1,593171,10,16,N,0
20090614,437,1,593171,10,14,N,0
20090614,671,1,593171,10,8,N,0
20090614,364,1,593171,10,6,N,0
20090614,380,1,593171,10,6,N,0
20090614,398,1,593171,10,6,N,0
20090614,418,1,593171,10,4,N,0
20090614,362,1,593171,10,2,N,0
20090615,390,1,593171,10,20,N,0
20090615,362,1,593171,10,16,N,0
20090615,437,1,593171,10,12,N,0
20090615,364,1,593171,10,6,N,0
20090615,380,1,593171,10,4,N,0
20090615,398,1,593171,10,2,N,0
20090615,671,1,593171,10,2,N,0
20090616,380,1,593171,10,32,N,0
20090616,390,1,593171,10,14,N,0
20090616,437,1,593171,10,10,N,0
20090616,442,1,593171,10,10,N,0
20090616,362,1,593171,10,8,N,0
20090616,398,1,593171,10,6,N,0
20090616,671,1,593171,10,6,N,0
20090616,613,1,593171,10,2,N,0
20090617,380,1,593171,10,44,N,0
20090617,442,1,593171,10,12,N,0
20090617,671,1,593171,10,10,N,0
20090617,362,1,593171,10,8,N,0
20090617,437,1,593171,10,8,N,0
20090617,390,1,593171,10,6,N,0
20090617,398,1,593171,10,6,N,0
20090617,613,1,593171,10,4,N,0
20090618,380,1,593171,10,44,N,0
20090618,390,1,593171,10,18,N,0
20090618,442,1,593171,10,14,N,0
20090618,613,1,593171,10,12,N,0
20090618,437,1,593171,10,8,N,0
20090618,364,1,593171,10,4,N,0
20090618,671,1,593171,10,4,N,0
20090618,398,1,593171,10,2,N,0
20090618,418,1,593171,10,2,N,0
20090619,437,1,593171,10,20,N,0
20090619,380,1,593171,10,12,N,0
20090619,442,1,593171,10,6,N,0
20090619,390,1,593171,10,4,N,0
20090619,398,1,593171,10,4,N,0
20090619,418,1,593171,10,4,N,0
20090619,613,1,593171,10,2,N,0
20090619,671,1,593171,10,2,N,0
20090620,380,1,593171,10,30,N,0
20090620,671,1,593171,10,18,N,0
20090620,437,1,593171,10,8,N,0
20090620,442,1,593171,10,8,N,0
20090620,362,1,593171,10,4,N,0
20090620,364,1,593171,10,4,N,0
20090620,390,1,593171,10,4,N,0
20090620,398,1,593171,10,4,N,0
20090620,444,1,593171,10,4,N,0
20090621,380,1,593171,10,24,N,0
20090621,671,1,593171,10,22,N,0
20090621,442,1,593171,10,10,N,0
20090621,444,1,593171,10,10,N,0
20090621,364,1,593171,10,6,N,0
20090621,437,1,593171,10,6,N,0
20090621,390,1,593171,10,4,N,0
20090621,398,1,593171,10,4,N,0
20090621,362,1,593171,10,2,N,0
20090621,418,1,593171,10,2,N,0
20090621,613,1,593171,10,2,N,0
20090622,671,1,593171,10,28,N,0
20090622,437,1,593171,10,16,N,0
20090622,442,1,593171,10,16,N,0
20090622,364,1,593171,10,10,N,0
20090622,362,1,593171,10,6,N,0
20090622,380,1,593171,10,6,N,0
20090622,444,1,593171,10,6,N,0
20090622,613,1,593171,10,6,N,0
20090622,398,1,593171,10,2,N,0
20090623,437,1,593171,10,36,N,0
20090623,671,1,593171,10,30,N,0
20090623,380,1,593171,10,20,N,0
20090623,442,1,593171,10,10,N,0
20090623,444,1,593171,10,10,N,0
20090623,362,1,593171,10,4,N,0
20090623,390,1,593171,10,4,N,0
20090623,613,1,593171,10,4,N,0
20090623,398,1,593171,10,2,N,0
20090623,418,1,593171,10,2,N,0
20090624,380,1,593171,10,24,N,0
20090624,671,1,593171,10,22,N,0
20090624,437,1,593171,10,20,N,0
20090624,364,1,593171,10,10,N,0
20090624,442,1,593171,10,10,N,0
20090624,613,1,593171,10,10,N,0
20090624,444,1,593171,10,6,N,0
20090624,362,1,593171,10,4,N,0
20090624,401,1,593171,10,4,N,0
20090624,398,1,593171,10,2,N,0
20090624,418,1,593171,10,2,N,0
20090625,380,1,593171,10,28,N,0
20090625,437,1,593171,10,22,N,0
20090625,362,1,593171,10,20,N,0
20090625,671,1,593171,10,14,N,0
20090625,444,1,593171,10,12,N,0
20090625,442,1,593171,10,8,N,0
20090625,390,1,593171,10,6,N,0
20090625,418,1,593171,10,4,N,0
20090625,364,1,593171,10,2,N,0
20090625,401,1,593171,10,2,N,0
20090626,380,1,593171,10,28,N,0
20090626,437,1,593171,10,18,N,0
20090626,442,1,593171,10,12,N,0
20090626,401,1,593171,10,10,N,0
20090626,671,1,593171,10,10,N,0
20090626,362,1,593171,10,8,N,0
20090626,364,1,593171,10,8,N,0
20090626,398,1,593171,10,6,N,0
20090626,444,1,593171,10,6,N,0
20090626,418,1,593171,10,2,N,0
20090627,380,1,593171,10,30,N,0
20090627,398,1,593171,10,12,N,0
20090627,437,1,593171,10,10,N,0
20090627,444,1,593171,10,8,N,0
20090627,671,1,593171,10,8,N,0
20090627,442,1,593171,10,6,N,0
20090627,390,1,593171,10,4,N,0
20090627,613,1,593171,10,4,N,0
20090627,364,1,593171,10,2,N,0
20090627,401,1,593171,10,2,N,0
20090628,380,1,593171,10,46,N,0
20090628,437,1,593171,10,26,N,0
20090628,671,1,593171,10,18,N,0
20090628,442,1,593171,10,16,N,0
20090628,362,1,593171,10,10,N,0
20090628,364,1,593171,10,8,N,0
20090628,444,1,593171,10,8,N,0
20090628,390,1,593171,10,6,N,0
20090628,401,1,593171,10,4,N,0
20090628,613,1,593171,10,4,N,0
20090628,398,1,593171,10,2,N,0
20090628,418,1,593171,10,2,N,0
20090629,380,1,593171,10,16,N,0
20090629,437,1,593171,10,14,N,0
20090629,442,1,593171,10,14,N,0
20090629,671,1,593171,10,10,N,0
20090629,362,1,593171,10,8,N,0
20090629,444,1,593171,10,6,N,0
20090629,364,1,593171,10,4,N,0
20090629,390,1,593171,10,4,N,0
20090629,613,1,593171,10,4,N,0
20090629,398,1,593171,10,2,N,0
20090629,401,1,593171,10,2,N,0
20090629,408,1,593171,10,2,N,0
20090630,380,1,593171,10,28,N,0
20090630,362,1,593171,10,18,N,0
20090630,671,1,593171,10,18,N,0
20090630,442,1,593171,10,16,N,0
20090630,444,1,593171,10,14,N,0
20090630,398,1,593171,10,12,N,0
20090630,401,1,593171,10,8,N,0
20090630,437,1,593171,10,8,N,0
20090630,390,1,593171,10,6,N,0
20090630,613,1,593171,10,4,N,0
20090630,408,1,593171,10,2,N,0
20090630,418,1,593171,10,2,N,0
20090701,671,1,593171,10,12,N,0
20090701,437,1,593171,10,4,N,0
20090701,364,1,593171,10,2,N,0
20090702,380,1,593171,10,36,N,0
20090702,417,1,593171,10,22,N,0
20090702,444,1,593171,10,12,N,0
20090702,437,1,593171,10,10,N,0
20090702,408,1,593171,10,6,N,0
20090702,362,1,593171,10,4,N,0
20090702,364,1,593171,10,4,N,0
20090702,398,1,593171,10,4,N,0
20090702,390,1,593171,10,2,N,0
20090702,401,1,593171,10,2,N,0
20090702,418,1,593171,10,2,N,0
20090702,613,1,593171,10,2,N,0
20090702,671,1,593171,10,2,N,0
20090703,417,1,593171,10,24,N,0
20090703,390,1,593171,10,22,N,0
